Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
Rb3PbO3,0.0842,1,0,-0.608697785,-1.00478564,0.577332533,1.237358749,-0.462175268,-0.80110531,-0.98193266,-0.456811553,-0.595835124,0.073046557,-1.011205322,-0.204939818,-0.624315779,-0.362604448,-0.867054081,1.286017995,1.036577994,0.413810542,0.02406407,0.005640274,0,0.1,0.0842
CaNi5,0,1,0,0.91538614,1.444249094,-0.805206885,0.709749969,-1.073868326,1.579705256,0.411211128,-1.065856575,1.191642492,-1.317701517,0.011781978,-1.806681872,-0.89743315,-0.362604448,1.616110705,-0.655337221,-0.52972068,-0.971883282,-0.769077356,-0.430478007,0,0.1,0
ZrSiTe,0,1,0,0.166760428,0.125538083,-0.791610579,0.637896633,-0.783852123,-0.221148319,-0.439714765,-0.810016446,0.281653888,-1.317701517,1.245787144,0.710341356,0.095720927,-0.16334483,-0.057113976,-0.814278583,-0.827835918,-0.970241699,-0.055007756,0.420092456,0,0.1,0
Ta3Ga2,0,1,0,2.232324424,1.221716611,-0.796825601,0.770106771,-1.191025472,0.714747941,0.272688308,-1.279333911,0.895896196,-1.317701517,0.064470933,0.046762505,-1.617469856,-0.362604448,1.054568521,-1.336514489,-2.408023541,-0.971467652,-0.701611234,-0.707248998,0,0.1,0
Sc2MnS4,0,1,0,-0.393580842,-0.651559477,-0.710032745,0.293000622,-0.384717222,-0.105583621,0.450789077,-0.376881653,-0.742083292,0.536629249,0.976674493,-0.685462434,-0.525000371,-0.362604448,-0.350793616,-0.303395632,-0.471280541,-0.970472608,-0.325382385,0.34853924,0,0.1,0
Ba4Na(BN2)3,2.4682,1,0,-0.799756633,0.954147792,-0.383535156,0.3586951,0.090213396,-0.769902841,-0.995784942,0.094396212,-1.083329019,0.073046557,0.343793155,-1.308997734,2.007542527,2.805558999,0.229602377,0.752429135,0.239175038,0.410177285,1.513292634,-1.525951397,0,0.1,2.4682
TiTl2F6,3.9155,1,0,-0.366722312,-1.012308049,2.514712976,-1.718892781,1.904166175,-0.625209913,-0.222036048,1.905655158,-0.249172798,0.845684376,-1.749815004,0.710341356,0.76609993,-0.362604448,-0.625307253,1.081664814,1.077104366,1.175865508,0.009269987,1.928014362,0,0.1,3.9155
ZrBiRh,0,1,0,1.450817086,1.100834768,-0.807441894,1.059436204,-1.160330267,1.595884314,1.875595224,-1.187256938,1.191642492,-1.317701517,0.927609501,0.184054681,-0.77328889,-0.362604448,1.34531625,-0.609925403,-1.385100134,-0.970516908,-0.71819081,-0.037531537,0,0.1,0
NaPN2,4.8677,1,0,-1.053927517,1.099117696,-0.507019413,-0.209972729,0.704678931,-0.800171902,-1.027447301,0.707963294,-1.083329019,1.116107613,0.598535212,-0.319349965,2.156515638,2.740428833,-0.923798754,0.707017317,0.200632558,0.639282999,-0.111123245,-1.000128354,0,0.1,4.8677
Li3Mn3(OF)4,0.7538,1,0,-0.766883185,-0.729563588,2.490314126,-0.996253518,0.912857848,-0.173322313,0.450789077,0.915726875,-0.717708597,0.536629249,-1.219749023,-0.142014237,0.145378631,-0.362604448,-0.517668154,1.717430265,0.349372002,0.868192425,0.034777027,0.746060206,0,0.1,0.7538
